C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_41974016.wav|बोल्न त आउँछ लेख्न भनन बरु।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40785634.wav|दिदी दाइ जम्मा भयौं, खाने बेलामा ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40037970.wav|भाई बढी किन?
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40046021.wav|मैले पनि हेरेको थिए दाइ ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_37910677.wav|हाहा हँसायो शेरेले।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_37910678.wav|फेरि चित्त दुख्यो ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40621412.wav|के खाने भनेर चाहिँ निधो गर्न सकिएन ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40621413.wav|खेल जीवनमा धेरै उतारचढाव आउँछन् ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_37870041.wav|सगरमाथा जानेपछि नेपाल नजान्ने कुरै भएन ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_37870053.wav|मलाई त मन परेन ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40621852.wav|म:म: नखाको पनि धेरै भो ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40621853.wav|अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40382577.wav|यो समुहको फुर्सदिलो सदस्य के मै हो?
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40382578.wav|तपाईंहरुलाई विश्वकप कत्तिको लागिरहेको छ?
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40617384.wav|म पनि फिलिम हेर्दै छु ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40617385.wav|तिमी अहिले सम्म पोखरा गएको छौ?
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_32420286.wav|भात दाल तरकारी नै हो दाजु
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_32420290.wav|यस अर्थमा शेर्पा समुदाय हाम्रो अन्तर्राष्ट्रिय चिनारी हो ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_39659663.wav|मुखमा राम राम, बगलीमा छुरा
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_39659664.wav|नदीनालाको देश होइन, नदी नाली को देश हुनु पर्ने!
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_39659665.wav|काँक्रो गाँजर मूलाको, सलाद हुन्छ मीठो ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_37910672.wav|हाम्रो तिर त पानी परिराखेको छ त ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_37910675.wav|अहिले भैराखेको खेलमा कसलाई समर्थन गर्दै हुनुहुन्छ?
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_37910676.wav|मनको लड्डु घ्यू संग
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40803788.wav|बिहे गर्नुपर्छ कि के हो केटा?
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40803790.wav|सिघ्र स्वास्थ लाभको काममा रोशन दाइ ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40803791.wav|तै पनि गज्जब मज्जा आइरहेको छ ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40222338.wav|यति भनी मान्छेको रूप लिएको सर्प त्यहीँ बिलायो ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40222340.wav|कलाले मानिसको त्यो क्षमतालाई थप परिस्कृत बनाउँछ ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_40222342.wav|म पनि जान्छु है त अहिले लाई ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_37890684.wav|नेपाली नेपालको राष्ट्रिय भाषा हो ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_37890687.wav|म स्पेनी भाषा सिक्ने कोशिस गर्दै छु।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_37890688.wav|खाना बनाउँदै छु केटा म त!
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_35021903.wav|खाइसकेको मैले त ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_35021904.wav|उनीहरू थर्पुतिरबाट आएका थिए ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_35021905.wav|सके खुला ठाउँमा पार्क बनाउने चाहना ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_35021906.wav|आज आइतबार हो ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_38625513.wav|राजकुमार दिनदिनै बढ्दै ठुला हुँदै गए ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_38625514.wav|अरु क्याम्पसहरुमा पनि कार्यक्रम गर्न पाए हुन्थ्यो ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_38625515.wav|बधाई छ, हाम्रो प्रयास कायम राखौ ।
C:/Users/firoj/OneDrive/Documents/GitHub/TTS_learning_journey/XTTS/Creating Model/wavs/common_voice_ne-NP_38625516.wav|किन परिक्षा नहुने हो र आज?
